"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\kriti\Documents\ICHack\redbanana\vscodeextension\ichack23\src\extension.ts", "TypeScript", -4, 2, 1, -1
"Total", "-", -4, 2, 1, -1
